               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.054678,            0.020563,            0.035932,             0.40247,             0.59251,             0.42312,             0.26717,            0.017472,           0.0048575,            0.017215,            0.070139,           0.0033179,           0.0033179
                   1,            0.035847,            0.010277,            0.021918,             0.51111,             0.75202,              0.5993,             0.38996,            0.031336,           0.0039994,           0.0092888,            0.040073,           0.0065854,           0.0065854
                   2,            0.032869,            0.008771,            0.018528,             0.57559,             0.71965,             0.72243,             0.54792,            0.013004,           0.0038128,            0.015501,           0.0099412,           0.0097869,           0.0097869
                   3,            0.027948,           0.0082841,            0.017335,             0.83761,             0.86691,             0.89761,             0.74398,            0.011318,           0.0037039,           0.0065037,            0.009703,            0.009703,            0.009703
                   4,            0.024797,           0.0075928,            0.014206,             0.76718,             0.83126,             0.85969,             0.70482,            0.011419,           0.0040638,           0.0071956,            0.009703,            0.009703,            0.009703
                   5,            0.022493,           0.0074102,            0.014813,             0.84428,             0.86286,             0.92882,             0.77664,           0.0099792,           0.0037863,           0.0055346,            0.009604,            0.009604,            0.009604
                   6,            0.020182,           0.0070906,            0.013602,             0.90728,             0.90221,             0.95686,             0.84988,           0.0091219,            0.003087,           0.0042854,            0.009505,            0.009505,            0.009505
                   7,            0.019502,           0.0068265,            0.012135,             0.92666,             0.90849,              0.9626,             0.85992,           0.0072663,           0.0031037,           0.0042017,            0.009406,            0.009406,            0.009406
                   8,            0.018775,           0.0064703,            0.011011,             0.91968,             0.91628,             0.95887,             0.85057,           0.0068581,           0.0030246,           0.0038081,            0.009307,            0.009307,            0.009307
                   9,            0.017786,           0.0063753,            0.011701,             0.94839,             0.91744,             0.96868,             0.86364,           0.0064198,           0.0029502,           0.0034726,            0.009208,            0.009208,            0.009208
                  10,            0.017258,           0.0062597,            0.010872,             0.90672,             0.94096,             0.96995,              0.8876,           0.0060221,           0.0027766,           0.0034477,            0.009109,            0.009109,            0.009109
                  11,            0.016624,           0.0061119,            0.010917,             0.92064,             0.89046,             0.94948,             0.83869,           0.0068859,            0.003041,            0.004013,             0.00901,             0.00901,             0.00901
                  12,            0.015773,           0.0059053,            0.010336,              0.9304,             0.91136,             0.96491,             0.88051,           0.0056779,           0.0027017,           0.0034713,            0.008911,            0.008911,            0.008911
                  13,            0.015571,           0.0059288,           0.0095495,             0.93117,             0.92558,             0.96721,             0.88494,           0.0062053,           0.0026503,           0.0030461,            0.008812,            0.008812,            0.008812
                  14,            0.015248,           0.0058778,            0.009953,             0.91331,             0.90851,              0.9616,              0.8769,           0.0059602,           0.0026335,           0.0034161,            0.008713,            0.008713,            0.008713
                  15,            0.014485,           0.0057724,           0.0096895,             0.93903,             0.94129,             0.97276,             0.89571,           0.0060918,           0.0027232,           0.0026995,            0.008614,            0.008614,            0.008614
                  16,            0.014663,           0.0056501,           0.0086661,             0.93577,             0.93513,             0.97018,             0.90624,           0.0052486,           0.0026001,           0.0031041,            0.008515,            0.008515,            0.008515
                  17,            0.014384,            0.005521,           0.0095819,             0.94883,             0.94684,             0.97309,             0.91008,            0.005086,           0.0024746,           0.0027904,            0.008416,            0.008416,            0.008416
                  18,            0.013981,           0.0051988,           0.0068156,             0.93792,             0.94395,             0.97373,             0.90126,            0.005707,            0.002559,           0.0026953,            0.008317,            0.008317,            0.008317
                  19,            0.014124,           0.0056359,           0.0091519,             0.94049,             0.92837,             0.96629,             0.90185,           0.0050242,           0.0025692,           0.0030315,            0.008218,            0.008218,            0.008218
                  20,            0.013779,           0.0054532,           0.0084411,             0.93244,             0.92301,              0.9612,             0.88177,           0.0053602,           0.0026767,           0.0041287,            0.008119,            0.008119,            0.008119
